이름,나이,성별,지역,국어,영어,수학,과학,역사
김도윤,17.0,여,세종,54.0,,55.0,79.0,61.0
송예나,19.0,남,강원,91.0,90.0,50.0,100.0,97.0
강하준,18.0,여,서울,99.0,78.0,95.0,99.0,79.0
김도윤,18.0,남,경기,55.0,96.0,52.0,78.0,50.0
송예나,19.0,여,울산,99.0,98.0,91.0,92.0,50.0
강하준,19.0,여,강원,79.0,65.0,83.0,65.0,52.0
송예나,17.0,남,강원,55.0,74.0,60.0,62.0,67.0
박지후,18.0,남,부산,58.0,60.0,79.0,70.0,63.0
한지호,18.0,여,대전,99.0,52.0,56.0,96.0,51.0
송예나,,여,강원,83.0,86.0,59.0,72.0,61.0
송예나,19.0,남,세종,61.0,,94.0,55.0,100.0
김민수,18.0,남,,96.0,63.0,80.0,62.0,67.0
최예린,19.0,여,세종,96.0,50.0,50.0,90.0,71.0
박지후,19.0,여,강원,62.0,67.0,68.0,72.0,51.0
박지후,19.0,남,강원,64.0,50.0,99.0,77.0,79.0
김민수,17.0,남,,94.0,51.0,99.0,56.0,89.0
이서준,19.0,여,부산,77.0,63.0,66.0,69.0,66.0
박지후,19.0,여,대구,91.0,92.0,85.0,57.0,63.0
김민수,17.0,여,광주,54.0,55.0,60.0,89.0,92.0
최예린,,남,서울,,86.0,66.0,54.0,97.0
이서준,17.0,남,광주,91.0,54.0,96.0,57.0,76.0
조하윤,17.0,남,울산,92.0,60.0,76.0,71.0,85.0
정수민,19.0,여,부산,90.0,100.0,82.0,87.0,75.0
이서준,19.0,여,강원,51.0,82.0,72.0,62.0,55.0
강하준,17.0,남,대구,80.0,94.0,80.0,60.0,85.0
이서준,17.0,남,세종,73.0,92.0,71.0,69.0,80.0
강하준,16.0,남,세종,93.0,,54.0,98.0,
정수민,19.0,여,,71.0,,91.0,90.0,63.0
김민수,16.0,여,대전,83.0,77.0,82.0,88.0,77.0
김도윤,18.0,여,울산,59.0,62.0,63.0,55.0,65.0
강하준,18.0,여,세종,51.0,69.0,80.0,66.0,
강하준,18.0,남,대구,61.0,100.0,66.0,,58.0
최예린,17.0,여,광주,68.0,61.0,86.0,82.0,78.0
최예린,18.0,남,인천,57.0,54.0,54.0,50.0,53.0
박지후,16.0,여,울산,87.0,92.0,91.0,67.0,82.0
정수민,16.0,여,대전,84.0,94.0,56.0,50.0,100.0
박지후,17.0,남,서울,95.0,95.0,90.0,83.0,90.0
조하윤,18.0,여,인천,77.0,91.0,62.0,85.0,58.0
김민수,19.0,여,대구,87.0,,94.0,51.0,72.0
김민수,19.0,,강원,77.0,54.0,54.0,54.0,86.0
최예린,17.0,여,대구,95.0,95.0,70.0,52.0,51.0
송예나,16.0,여,강원,72.0,90.0,95.0,89.0,88.0
정수민,19.0,남,대구,100.0,81.0,88.0,,
,16.0,남,광주,78.0,93.0,63.0,96.0,51.0
강하준,16.0,남,인천,85.0,95.0,98.0,75.0,50.0
김도윤,18.0,남,인천,61.0,99.0,59.0,60.0,85.0
박지후,17.0,남,서울,92.0,70.0,88.0,71.0,62.0
,17.0,남,경기,66.0,98.0,67.0,81.0,69.0
김도윤,16.0,남,경기,96.0,89.0,99.0,63.0,61.0
한지호,16.0,여,인천,66.0,72.0,63.0,85.0,97.0
최예린,19.0,남,부산,94.0,74.0,79.0,57.0,65.0
조하윤,19.0,여,대구,54.0,50.0,57.0,,58.0
이서준,18.0,남,경기,100.0,69.0,94.0,74.0,52.0
박지후,19.0,여,부산,96.0,,69.0,85.0,80.0
조하윤,19.0,여,대구,89.0,77.0,61.0,67.0,89.0
한지호,19.0,남,세종,53.0,71.0,79.0,84.0,
송예나,16.0,여,강원,61.0,54.0,95.0,74.0,100.0
김도윤,19.0,여,서울,87.0,,51.0,69.0,
정수민,18.0,,서울,60.0,100.0,76.0,72.0,96.0
최예린,,여,강원,67.0,93.0,,56.0,88.0
한지호,16.0,여,강원,57.0,89.0,88.0,97.0,93.0
이서준,19.0,남,대구,100.0,81.0,67.0,55.0,88.0
김도윤,17.0,여,대구,57.0,90.0,61.0,83.0,90.0
한지호,19.0,여,세종,91.0,89.0,77.0,78.0,94.0
,16.0,남,대전,88.0,70.0,74.0,60.0,84.0
김민수,18.0,여,서울,91.0,79.0,98.0,69.0,90.0
송예나,19.0,남,부산,71.0,82.0,84.0,63.0,61.0
박지후,18.0,여,울산,99.0,51.0,85.0,80.0,71.0
김도윤,17.0,,경기,68.0,64.0,73.0,72.0,84.0
한지호,16.0,여,대구,87.0,51.0,66.0,57.0,57.0
김민수,,여,광주,84.0,58.0,55.0,58.0,94.0
김민수,17.0,여,광주,91.0,92.0,97.0,76.0,51.0
,16.0,여,인천,82.0,100.0,56.0,74.0,99.0
정수민,16.0,남,경기,54.0,92.0,74.0,78.0,67.0
김도윤,19.0,여,대전,54.0,88.0,90.0,58.0,51.0
한지호,16.0,여,부산,94.0,,79.0,85.0,67.0
,,여,세종,79.0,80.0,89.0,60.0,83.0
강하준,18.0,여,인천,95.0,98.0,93.0,97.0,84.0
김도윤,17.0,남,울산,57.0,50.0,68.0,86.0,88.0
조하윤,18.0,여,세종,,99.0,68.0,86.0,56.0
최예린,19.0,여,광주,,70.0,77.0,78.0,96.0
최예린,17.0,남,부산,91.0,96.0,93.0,93.0,50.0
강하준,16.0,남,강원,58.0,65.0,59.0,89.0,68.0
이서준,17.0,여,경기,96.0,74.0,53.0,74.0,86.0
이서준,16.0,남,광주,80.0,99.0,60.0,,81.0
최예린,17.0,남,대전,99.0,69.0,98.0,78.0,69.0
김민수,18.0,남,광주,71.0,,83.0,50.0,58.0
최예린,17.0,여,대구,97.0,72.0,53.0,88.0,68.0
김민수,,여,울산,66.0,,89.0,66.0,83.0
김민수,,,울산,85.0,79.0,93.0,50.0,73.0
박지후,16.0,여,대전,72.0,76.0,81.0,91.0,96.0
최예린,18.0,남,강원,63.0,93.0,92.0,58.0,57.0
최예린,19.0,여,인천,76.0,96.0,72.0,71.0,52.0
한지호,19.0,여,인천,95.0,58.0,90.0,83.0,83.0
정수민,17.0,남,강원,70.0,58.0,51.0,100.0,62.0
송예나,,남,경기,59.0,94.0,92.0,55.0,56.0
강하준,16.0,남,인천,75.0,77.0,80.0,62.0,90.0
한지호,16.0,여,대전,92.0,82.0,80.0,62.0,56.0
송예나,18.0,남,강원,,78.0,62.0,83.0,73.0
이서준,17.0,,인천,87.0,79.0,51.0,58.0,86.0
